,0,1,2,3,4,5,6,7
0,33,2,,,,,,
1,18,13,4.0,,,,,
2,16,12,5.0,2.0,,,,
3,23,6,4.0,1.0,1.0,,,
4,18,8,4.0,2.0,2.0,1.0,,
5,16,8,3.0,3.0,2.0,2.0,1.0,
6,10,6,5.0,4.0,4.0,3.0,2.0,1.0
